しょう油,しょうゆ
しわ寄せ,しわよせ
し向ける,しむける
し尿,しにょう
し損じる,しそんじる
し烈,しきれつ
し烈,しれつ
じゃが芋,じゃがいも
じゃが芋,ジャガイモ
じゃじゃ馬,じゃじゃうま
じゃ口,じゃぐち
じゅ文,じゅもん
じり貧,じりひん
じん帯,じんたい
じん性,じんせい
じん肺,じんはい
じん肺,じんぱい
すい星,すいせい
すう勢,すうせい
すきっ腹,すきっぱら
すきま風,すきまかぜ
すき焼,すきやき
すき焼,スキヤキ
すき焼き,すきやき
すき焼き,スキヤキ
すき身,すきみ
すき間,すきま
すくい上げる,すくいあげる
すくみ上がる,すくみあがる
すげ替える,すげかえる
すご腕,すごうで
すし詰め,すしづめ
すし飯,すしめし
すじ肉,すじにく
すじ違い,すじちがい
すすり泣き,すすりなき
すすり泣く,すすりなく
すす払い,すすはらい
すっぱ抜く,すっぱぬく
すっ裸,すっぱだか
すっ飛ぶ,すっとぶ
すべり出し,すべりだし
すべり台,すべりだい
すまし汁,すましじる
すみれ色,すみれいろ
すり付ける,すりつける
すり傷,すりきず
すり切り,すりきり
すり合せ,すりあわせ
すり合わせ,すりあわせ
すり寄る,すりよる
すり抜ける,すりぬける
すり替える,すりかえる
すり減らす,すりへらす
すり減る,すりへる
すり潰す,すりつぶす
すり足,すりあし
すり身,すりみ
すり込む,すりこむ
すり鉢,すりばち
すれ合う,すれあう
すれ違い,すれちがい
すれ違う,すれちがう
ずい分,ずいぶん
ずた袋,ずたぶくろ
ずだ袋,ずだぶくろ
ずば抜ける,ずばぬける
ずり上がる,ずりあがる
ずり落ちる,ずりおちる
ずれ込む,ずれこむ
せき止める,せきとめる
せき立てる,せきたてる
せせら笑う,せせらわらう
せっぱ詰まる,せっぱつまる
せっ生,せっしょう
せっ生,せっせい
せり出す,せりだす
せん光,せんこう
せん妄,せんもう
せん断,せんだん
せん馬,せんば
ぜい肉,ぜいにく
そう身,そうしん
そう身,そうみ
そぎ切り,そぎぎり
そそり立つ,そそりたつ
そぞろ歩き,そぞろあるき
そっ歯,そっぱ
その他,そのた
その他,そのほか
その外,そのた
その外,そのほか
その後,そのあと
その後,そのご
その後,そののち
その物,そのもの
その道,そのみち
その間,そのあいだ
その間,そのかん
その頃,そのころ
そば切,そばきり
そば切り,そばきり
そば杖,そばづえ
そば殻,そばがら
そば湯,そばゆ
そびえ立つ,そびえたつ
そぼ降る,そぼふる
そよ風,そよかぜ
そら似,そらに
そら耳,そらみみ
そら豆,そらまめ
そら豆,ソラマメ
それ程,それほど
そろい踏み,そろいぶみ
そん色,そんしょく
たい焼き,たいやき
たい肥,たいひ
たか派,たかは
たき木,たきぎ
たき火,たきび
たけり立つ,たけりたつ
たこ焼,たこやき
たこ焼,タコヤキ
たこ焼き,たこやき
たこ焼き,タコヤキ
たたき出す,たたきだす
たたき台,たたきだい
たたき売り,たたきうり
たたき起こす,たたきおこす
たたき込む,たたきこむ
ただし書,ただしがき
ただし書き,ただしがき
ただ中,ただなか
ただ事,ただごと
ただ今,ただいま
ただ者,ただもの
たった今,たったいま
たっ成,たっせい
たっ観,たっかん
たて琴,たてごと
たて穴,たてあな
たて糸,たていと
たて続け,たてつづけ
たとう紙,たとうがみ
たとう紙,たとうし
たどり着く,たどりつく
たな卸,たなおろし
たな卸し,たなおろし
たな引く,たなびく
たね明かし,たねあかし
たね違い,たねちがい
たのもし講,たのもしこう
たび人,たびびと
たび心,たびごころ
たまご焼き,たまごやき
たまご色,たまごいろ
たまご酒,たまござけ
たまて箱,たまてばこ
たまり場,たまりば
ため息,ためいき
ため池,ためいけ
ため込む,ためこむ
たも網,たもあみ
たらし込む,たらしこむ
たる木,たるき
たれ流し,たれながし
たれ込む,たれこむ
