賜,1.21,66,14907
悦,1.21,106,14298
映,1.20,138,801184
邸,1.20,55,27801
椅,1.20,38,12855
煩,1.20,27,3505
当,1.19,449,1220696
十,1.19,2130,373804
若,1.19,493,211112
紅,1.19,246,70352
享,1.19,26,39120
呉,1.19,133,36067
陳,1.19,84,27086
遮,1.19,22,10712
松,1.18,1788,646570
協,1.18,304,423340
奉,1.18,197,54457
貸,1.18,106,39321
昆,1.18,60,20459
蓋,1.18,75,16728
柿,1.18,136,13970
名,1.17,1530,2818794
備,1.17,653,575505
異,1.17,149,305860
隅,1.17,77,18419
史,1.16,435,640216
密,1.16,203,168739
魚,1.16,345,102075
虫,1.16,226,75157
蒸,1.16,135,40409
胴,1.16,49,17646
険,1.15,140,146097
雷,1.15,229,76523
沙,1.15,292,57181
郭,1.15,62,20900
廉,1.15,38,11732
橋,1.14,1429,495041
久,1.14,1507,352836
験,1.14,103,260789
覚,1.14,209,125994
砂,1.14,359,85402
坪,1.14,228,20662
販,1.13,156,202641
距,1.13,92,118686
紫,1.13,192,50172
励,1.13,88,26277
苗,1.13,110,23399
股,1.13,191,21041
会,1.12,2136,2897708
田,1.12,7436,2253108
蔵,1.12,825,231431
右,1.12,519,224813
珠,1.12,165,34580
猿,1.12,161,28065
捻,1.12,24,5968
候,1.11,186,124023
誠,1.11,158,73167
嬢,1.11,20,16365
風,1.10,698,361181
航,1.10,360,314757
令,1.10,553,224800
互,1.10,150,80219
暮,1.10,98,55020
頂,1.10,110,51156
脂,1.10,51,23067
盾,1.10,24,20011
帆,1.10,95,18467
青,1.09,610,366148
財,1.09,207,191408
複,1.09,78,176633
頼,1.09,188,135908
幅,1.09,67,133419
啓,1.09,120,42905
墜,1.09,46,23241
親,1.08,417,370996
予,1.08,347,344062
刑,1.08,132,157852
舟,1.08,227,28620
笛,1.08,63,16331
憧,1.08,37,14985
考,1.07,172,593346
字,1.07,2159,474455
試,1.07,380,384727
横,1.07,510,300609
守,1.07,792,270579
滋,1.07,53,43957
泌,1.07,26,10591
眺,1.07,35,6661
花,1.06,1130,354534
爵,1.06,151,63080
兆,1.06,84,16177
欄,1.06,25,13359
朽,1.06,55,12978
膳,1.06,61,8381
搾,1.06,13,3757
厘,1.06,18,1317
革,1.05,88,202123
浦,1.05,1109,191095
訪,1.05,199,104598
荷,1.05,214,64251
威,1.05,163,56688
錦,1.05,140,28873
懲,1.05,40,14909
缶,1.05,33,13341
体,1.04,501,1465749
防,1.04,358,317008
描,1.04,69,164641
殻,1.04,42,19611
斑,1.04,42,11892
果,1.03,185,412843
瀬,1.03,1191,194834
宅,1.03,194,133675
茨,1.03,45,69597
麗,1.03,172,48802
棺,1.03,21,6866
貪,1.03,11,1842
数,1.02,384,1177737
谷,1.02,2370,487151
弥,1.02,331,65690
泰,1.02,257,59709
微,1.02,117,43863
浄,1.02,168,38208
堤,1.02,211,32439
栽,1.02,70,23066
派,1.01,231,291301
帰,1.01,149,207586
芝,1.01,217,68966
珍,1.01,116,37914
臓,1.01,66,30940
蜂,1.01,45,18323
民,1.00,705,845384
賀,1.00,835,244571
節,1.00,284,130934
殿,1.00,393,109705
繰,1.00,76,68198
刃,1.00,82,19898
逝,1.00,49,10490
県,0.99,1692,1954496
政,0.99,624,868648
貴,0.99,345,142973
丘,0.99,729,97086
炉,0.99,54,19781
図,0.98,491,338449
殺,0.98,270,307353
酸,0.98,113,120171
捜,0.98,104,75714
村,0.97,1727,1311004
官,0.97,656,441214
落,0.97,782,344981
頭,0.97,844,328598
献,0.97,299,248090
香,0.97,626,245287
塩,0.97,415,96868
煎,0.97,25,4123
詮,0.97,23,3822
賞,0.96,315,757149
太,0.96,1482,615640
呼,0.96,139,475645
敬,0.96,201,66550
慮,0.96,43,36195
謙,0.96,79,24709
綿,0.96,100,16105
鈍,0.96,39,6041
漸,0.96,23,3872
同,0.95,586,1740395
巣,0.95,129,34883
叙,0.95,72,30779
阻,0.95,45,25283
渦,0.95,25,8323
幕,0.94,124,176960
具,0.94,232,140252
君,0.94,289,122083
奥,0.94,496,115823
廊,0.94,30,13493
冗,0.94,27,5305
誌,0.93,141,214219
歩,0.93,233,205227
望,0.93,166,165628
操,0.93,88,134834
震,0.93,141,104415
冒,0.93,51,58743
班,0.93,94,25693
凍,0.93,35,19367
栓,0.93,15,4600
女,0.92,1254,1235156
管,0.92,407,375682
般,0.92,735,246448
板,0.92,375,175897
仲,0.92,323,129899
筆,0.92,287,101527
峰,0.92,502,50680
忙,0.92,34,6827
来,0.91,566,770116
撃,0.91,493,502183
振,0.91,286,170607
麻,0.91,535,137003
批,0.91,66,77640
触,0.91,178,70192
底,0.91,167,63754
滑,0.91,107,46007
墨,0.91,89,18709
子,0.90,4967,2406063
入,0.90,993,1419724
勝,0.90,754,894549
術,0.90,345,551437
展,0.90,159,264324
糸,0.90,191,43920
良,0.89,950,373985
就,0.89,343,208353
材,0.89,181,167373
牛,0.89,408,61938
句,0.89,131,40482
卵,0.89,55,36534
朱,0.89,116,28863
猛,0.89,69,28585
潔,0.89,48,13799
朴,0.89,42,12648
畏,0.89,23,2460
近,0.88,435,641491
便,0.88,167,314780
輪,0.88,362,146676
厚,0.88,185,80916
鑑,0.88,85,68700
懐,0.88,99,22000
酎,0.88,17,3414
遜,0.88,16,2834
属,0.87,379,673578
建,0.87,595,529553
衛,0.87,855,339257
確,0.87,100,239115
梅,0.87,354,72364
尊,0.87,243,60903
貝,0.87,229,30304
霧,0.87,78,29728
変,0.86,233,689178
究,0.86,397,493119
巻,0.86,369,356123
渡,0.86,480,267662
補,0.86,205,233024
証,0.86,184,181208
羽,0.86,706,164557
給,0.86,150,155038
掛,0.86,332,107618
鶴,0.86,355,96816
童,0.86,151,85227
坊,0.86,270,47536
銅,0.86,102,43564
罰,0.86,43,30715
拷,0.86,22,5601
不,0.85,843,654977
湾,0.85,378,139610
納,0.85,348,84994
